Date,Campaign,Campaign ID,Placement,Verifiable Impressions
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_AcerSpin13_ASUSC434_PixelSlate_Evergreen (OPID-1841783)_Imp,306816
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_CTPT_AcerSpin13_ASUSC434_PixelSlate_Evergreen (OPID-1841785)_Imp,13449
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_CTXT_AcerSpin13_ASUSC434_PixelSlate_Evergreen (OPID-1841787)_Imp,61
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_IMS_AcerSpin13_ASUSC434_PixelSlate_Evergreen (OPID-1841789)_Imp,621692
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_TT_AcerSpin13_ASUSC434_PixelSlate_Evergreen (OPID-1841791)_Imp,468108
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_FR_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_FR_AS_Acer514_ASUSC434_Evergreen (OPID-1842211)_Imp,289876
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_FR_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_FR_CTPT_Acer514_ASUSC434_Evergreen (OPID-1842212)_Imp,91546
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_FR_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_FR_CTXT_Acer514_ASUSC434_Evergreen (OPID-1842213)_Imp,960
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_FR_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_FR_IMS_Acer514_ASUSC434_Evergreen (OPID-1842214)_Imp,1522214
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_FR_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_FR_TT_Acer514_ASUSC434_Evergreen (OPID-1842215)_Imp,68944
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_GB_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_Acer514_ASUSC434_HPx360_Evergreen (OPID-1842199)_Imp,448645
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_GB_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_CTPT_Acer514_ASUSC434_HPx360_Evergreen (OPID-1842201)_Imp,23051
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_GB_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_CTXT_Acer514_ASUSC434_HPx360_Evergreen (OPID-1842203)_Imp,162
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_GB_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_IMS_Acer514_ASUSC434_HPx360_Evergreen (OPID-1842205)_Imp,658357
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_GB_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_TT_Acer514_ASUSC434_HPx360_Evergreen (OPID-1842207)_Imp,520933
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_US_Amazon_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_In-Market_ASUS C202_Evergreen (OPID-1843749)_Imp,45
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_US_Amazon_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_In-Market_ASUS C434_Evergreen (OPID-1843751)_Imp,21
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_US_Amazon_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_In-Market_Acer R13_Evergreen (OPID-1843752)_Imp,21
2019-10-01,1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_US_Amazon_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_In-Market_Acer Spin13_Evergreen (OPID-1843753)_Imp,21
