Campaign,Campaign ID,Placement,Date,Video Player Size,Verifiable Impressions
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-09,(not set),216352
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-10,(not set),159138
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-11,(not set),178356
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-12,(not set),236036
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-13,(not set),143752
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-14,(not set),128850
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-15,(not set),10264
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-16,(not set),14510
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-17,(not set),15098
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-18,(not set),32523
1005998 | Chromebook | Brand + DR | ESS01 | NA | US | Q4 2019 |,23213718,ChromeOS Consumers - C13_DR_ESS01_NA_CA_GDN_Hyb_None_None_BAN_No fixed size_Q4 2019_NonRMKT_P_RDA_EN_AS_ASUSC434_EvergreenUpdate (OPID-1889962)_Imp,2019-10-19,(not set),17839
